435,"B., A."
436,"Jacque, James."
437,"Todd, George Eyre."
438,"Parson, William."
439,"Whatton, William Robert."
440,"Harland, John "
441,"Croston, James."
442,"Grimshaw, William "
443,"Baines, M. A."
444,"Baker, Thomas "
445,"Baker, Thomas "
446,"Harper, Charles George."
447,"Whatley, H."
448,"Yorke, Skelton."
449,"Masson, Gustave "
450,"Martin, J. E. A."
451,"Durand, Godefroy."
452,"Lenau, Nicolaus "
453,"Deelstra, F."
454,"Dulaurens, Ernest."
455,"Szerelmey, MiklóS."
456,"Fabregas, Sebastian."
457,"Balbi, Adriano."
458,"Balch, Edwin Swift."
459,"Balderston, Margaret."
460,"Thomas, Joseph "
461,"Wolf, James "
462,"Haig, James "
463,"Skene, Harriet."
464,"Wallace, William Vincent "
465,"Poulson, George."
466,"Paul, James Balfour "
467,"Gilbert, John "
468,"Harvey, George"
469,"Barry, Charles "
470,"Rigby, Elizabeth "
471,"Rigby, Elizabeth "
472,"Balmaceda, José Manuel "
473,"Sheahan, Thomas."
474,"Harper, Alexander "
475,"Ralph, James "
476,"Dalrymple, David "
477,"Dalyell, John Graham "
478,"Major, Ralph Hermon."
479,"Marsh, William "
480,"Williams, Isaac "
481,"Brown, John Joseph."
482,"Houstoun, Matilda Charlotte."
483,"Braddon, M. E. "
484,"Bernard, Joseph "
485,"Carnandet, Jean Baptiste."
486,"Lawrence, William Beach."
487,"Howe, Henry."
488,"Howe, Henry."
489,"Howe, Henry."
490,"Howe, Henry."
491,"Grierson, Constantia "
492,"De Costa, Benjamin Franklin."
493,"Schill, Ferdinand Von."
494,HyltéN
495,"Barham, Richard Harris Dalton."
496,"B., F. N."
497,"Smith, John Stores."
498,"S., J. B. V."
499,"Barry, William Farquhar."
500,"CsáNki, Dezső."
501,"Giacomelli, Hector."
502,"Traill, Henry Duff."
503,"Smythe, George Edward."
504,"B., R."
505,"Morrell, Charlotte M. B."
506,Alcoholics Anonymous.
507,"Wodehouse, Evelyn."
508,"Fraipont, Gustave."
509,"Chapon, A."
510,"Chapon, A."
511,"Chapon, A."
512,"Chapon, A."
513,"Cowper, Benjamin Harris."
514,"Headrick, James."
515,"Toldy, Ferencz."
516,"Beaumont, William "
517,"Jacquier, FrançOis "
518,"Balarin De Raconis, J."
519,"Humphrey, L. B. "
520,"Bartlett, Frederick Augustus."
521,"Swalue, Edelhardus Bernardus."
522,"Beverly, William."
523,"Prescott, Richard "
524,"Barttelot, Walter George."
525,"Barttelot, Walter George."
526,"Schirmer, Henri "
527,"Delisle, LéOpold Victor."
528,"Reinhard, Carl Von "
529,"Neuville, Alphonse Marie De"
530,"Hippesley, R."
531,"Miller, Anne "
532,"Pleyte, Cornelis Marinus."
533,"Vincent, George."
534,Price 
535,"Arnstein, Gebhard Von "
536,"Nind, Mary Clarke."
537,"Beck, August "
538,"Quinet, Hermione."
539,"Jones, Richard "
540,"Godefroy, J. "
541,"Marcks, Erich C."
542,"Le Roy, A. "
543,"Castelnau D'Essenault, Guillaume De "
544,"Alford, Charles Richard "
545,"Beverley, Robert Mackenzie."
546,"Lodowick, Charles."
547,"Kontostaulos, Alexandros."
548,"Rae, William Fraser."
549,"Drake, Samuel Gardner."
550,"W., F."
551,"Bailac, Jean Baptiste."
552,"Gould, Robert Howe."
553,"Crooklands, Josiah."
554,"Reid, Mayne"
555,"Raymond, Paul."
556,"Daniell, William"
557,"Cockin, William "
558,"Allom, Thomas."
559,"Bartlett, W. H. "
560,"Notley, Frances Eliza Millett."
561,"Smythe, Percy Ellen Frederick William "
